Problem Name	Difficulty	Intermediate Max Time	Advanced Max Time	Top of the Crop Max Time	Problem Pattern	Link
Construct Binary Tree from Preorder and Postorder Traversal	Medium	0	0	0	Trees	https://leetcode.com/problems/construct-binary-tree-from-preorder-and-postorder-traversal/
Unique Binary Search Trees	Medium	0	0	0	Trees	https://leetcode.com/problems/unique-binary-search-trees/
Unique Binary Search Trees II	Medium	0	0	0	Trees	https://leetcode.com/problems/unique-binary-search-trees-ii/
Number of Good Leaf Nodes Pairs	Medium	0	0	0	Trees	https://leetcode.com/problems/number-of-good-leaf-nodes-pairs/
Sum Root to Leaf Numbers	Medium	0	0	0	Trees	https://neetcode.io/problems/sum-root-to-leaf-numbers/question?list=allNC
House Robber III	Medium	50	35	26	Trees	https://neetcode.io/problems/house-robber-iii/question?list=allNC
Flip Equivalent Binary Trees	Medium	0	0	0	Trees	https://leetcode.com/problems/flip-equivalent-binary-trees/
Operations On Tree	Medium	0	0	0	Trees	https://leetcode.com/problems/operations-on-tree/
All Possible Full Binary Trees	Medium	0	0	0	Trees	https://leetcode.com/problems/all-possible-full-binary-trees/
Find Bottom Left Tree Value	Medium	0	0	0	Trees	https://leetcode.com/problems/find-bottom-left-tree-value/
Trim a Binary Search Tree	Medium	0	0	0	Trees	https://leetcode.com/problems/trim-a-binary-search-tree/
Binary Search Tree Iterator	Medium	40	22	12	Trees	https://neetcode.io/problems/binary-search-tree-iterator/question?list=allNC
Validate Binary Tree Nodes	Medium	0	0	0	Trees	https://leetcode.com/problems/validate-binary-tree-nodes/
Find Largest Value in Tree Row	Medium	0	0	0	Trees	https://leetcode.com/problems/find-largest-value-in-each-tree-row/
Pseudo-Palindromic Paths in a Binary Tree	Medium	0	0	0	Trees	https://leetcode.com/problems/pseudo-palindromic-paths-in-a-binary-tree/
Even Odd Tree	Medium	0	0	0	Trees	https://leetcode.com/problems/even-odd-tree/
Smallest String Starting From Leaf	Medium	0	0	0	Trees	https://leetcode.com/problems/smallest-string-starting-from-leaf/
Delete Leaves With a Given Value	Medium	40	28	20	Trees	https://neetcode.io/problems/delete-leaves-with-a-given-value/question?list=allNC
Delete Nodes And Return Forest	Medium	0	0	0	Trees	https://leetcode.com/problems/delete-nodes-and-return-forest/
Distribute Coins in Binary Tree	Medium	0	0	0	Trees	https://leetcode.com/problems/distribute-coins-in-binary-tree/
Convert Bst to Greater Tree	Medium	0	0	0	Trees	https://neetcode.io/problems/convert-bst-to-greater-tree/question?list=allNC
Step-By-Step Directions From a Binary Tree Node to Another	Medium	0	0	0	Trees	https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another/
Binary Tree Longest Consecutive Sequence	Medium	0	0	0	Trees	https://neetcode.io/problems/binary-tree-longest-consecutive-sequence/question?list=allNC
Binary Tree Longest Consecutive Sequence II	Medium	45	28	15	Trees	https://neetcode.io/problems/binary-tree-longest-consecutive-sequence-ii/question?list=allNC
