Problem Name	Difficulty	Intermediate Max Time	Advanced Max Time	Top of the Crop Max Time	Problem Pattern	Link
Partition Labels	Medium	45	35	20	Greedy	https://neetcode.io/problems/partition-labels?list=neetcode150
Valid Parenthesis String	Medium	45	35	20	Greedy	https://neetcode.io/problems/valid-parenthesis-string?list=neetcode150
Insert Interval	Medium	45	30	22	Intervals	https://neetcode.io/problems/insert-new-interval?list=neetcode150
Merge Intervals	Medium	35	25	18	Intervals	https://neetcode.io/problems/merge-intervals?list=neetcode150
Non Overlapping Intervals	Medium	45	32	22	Intervals	https://neetcode.io/problems/non-overlapping-intervals?list=neetcode150
Meeting Rooms	Easy	20	12	8	Intervals	https://neetcode.io/problems/meeting-schedule?list=neetcode150
Meeting Rooms II	Medium	45	32	22	Intervals	https://neetcode.io/problems/meeting-schedule-ii?list=neetcode150
Minimum Interval to Include Each Query	Hard	60	45	30	Intervals	https://neetcode.io/problems/minimum-interval-including-query?list=neetcode150
Rotate Image	Medium	40	28	20	Math & Geometry	https://neetcode.io/problems/rotate-matrix?list=neetcode150
Spiral Matrix	Medium	50	35	25	Math & Geometry	https://neetcode.io/problems/spiral-matrix?list=neetcode150
Set Matrix Zeroes	Medium	45	30	22	Math & Geometry	https://neetcode.io/problems/set-zeroes-in-matrix?list=neetcode150
Happy Number	Easy	30	20	10	Math & Geometry	https://neetcode.io/problems/non-cyclical-number?list=neetcode150
Plus One	Easy	30	20	10	Math & Geometry	https://neetcode.io/problems/plus-one?list=neetcode150
Pow(x, n)	Medium	45	35	20	Math & Geometry	https://neetcode.io/problems/pow-x-n?list=neetcode150
Multiply Strings	Medium	45	35	20	Math & Geometry	https://neetcode.io/problems/multiply-strings?list=neetcode150
Detect Squares	Medium	45	35	20	Math & Geometry	https://neetcode.io/problems/count-squares?list=neetcode150
Single Number	Easy	30	20	10	Bit Manipulation	https://neetcode.io/problems/single-number?list=neetcode150
Number of 1 Bits	Easy	18	12	8	Bit Manipulation	https://neetcode.io/problems/number-of-one-bits?list=neetcode150
Counting Bits	Easy	30	20	15	Bit Manipulation	https://neetcode.io/problems/counting-bits?list=neetcode150
Reverse Bits	Easy	25	15	10	Bit Manipulation	https://neetcode.io/problems/reverse-bits?list=neetcode150
Missing Number	Easy	20	12	8	Bit Manipulation	https://neetcode.io/problems/missing-number?list=neetcode150
Sum of Two Integers	Medium	45	30	22	Bit Manipulation	https://neetcode.io/problems/sum-of-two-integers?list=neetcode150
Reverse Integer	Medium	45	35	20	Bit Manipulation	https://neetcode.io/problems/reverse-integer?list=neetcode150
